dept_code,period,numerator,denominator,value,updated_at
"配置时认真选择正确的科室,3439,2927,2915,3442,3414,3412,2964,2953,3409,3487,3452",2026-09,0,1,0.0,2026-09-03 09:29:27.660000
3439,2026-08,3,25,12.0,2026-08-29 04:25:54.451000
"配置时认真选择正确的科室,3439,2927,2915,3442,3414,3412,2964,2953,3409,3487,3452",2026-08,4,50,8.0,2026-09-03 09:29:33.590000
2927,2026-07,1,9,11.1,2026-08-01 05:37:29.576000
3439,2026-07,4,30,13.3,2026-08-29 04:25:54.416000
"配置时认真选择正确的科室,3439,2927,2915,3442,3414,3412,2964,2953,3409,3487,3452",2026-07,5,46,10.9,2026-09-03 09:29:33
2927,2026-06,1,6,16.7,2026-06-22 04:25:28.912000
3439,2026-06,7,32,21.9,2026-08-29 04:25:56.699000
"配置时认真选择正确的科室,3439,2927,2915,3442,3414,3412,2964,2953,3409,3487,3452",2026-06,9,48,18.8,2026-09-03 09:29:34.029000
2927,2026-05,1,8,12.5,2026-06-22 04:25:29.168000
3439,2026-05,10,36,27.8,2026-08-27 03:27:37.418000
"配置时认真选择正确的科室,3439,2927,2915,3442,3414,3412,2964,2953,3409,3487,3452",2026-05,11,56,19.6,2026-09-03 09:29:33.643000
2927,2026-04,1,11,9.1,2026-06-22 04:25:28.668000
3439,2026-04,7,31,22.6,2026-08-27 03:27:49.238000
"配置时认真选择正确的科室,3439,2927,2915,3442,3414,3412,2964,2953,3409,3487,3452",2026-04,9,52,17.3,2026-09-03 09:29:33.119000
2927,2026-03,0,9,0.0,2026-06-22 04:25:27.388000
3439,2026-03,3,28,10.7,2026-08-27 03:27:46.281000
"配置时认真选择正确的科室,3439,2927,2915,3442,3414,3412,2964,2953,3409,3487,3452",2026-03,5,45,11.1,2026-09-01 18:00:51.250000
2927,2026-02,0,6,0.0,2026-06-22 04:25:27.359000
3439,2026-02,6,29,20.7,2026-08-27 03:27:33.693000
